1_ortho	4_cgram	11_infover	5_genre
fîtes	VER	ind:pas:2p;	na
faisant	VER	par:pre;	na
fait	VER	ind:pre:3s;par:pas;par:pas;	m
faisiez	VER	ind:imp:2p;	na
faisions	VER	ind:imp:1p;	na
faite	VER	par:pas;	f
faisons	VER	imp:pre:1p;ind:pre:1p;	na
les	ART:def	na	na
on	PRO:per	na	na
l'	ART:def	na	m
soient	AUX	sub:pre:3p;	na
sois	AUX	sub:pre:2s;	na
étions	AUX	ind:imp:1p;	na
sommes	AUX	ind:pre:1p;	na
étiez	AUX	ind:imp:2p;	na
étant	AUX	par:pre;	na
était	AUX	ind:imp:3s;	na
étais	AUX	ind:imp:2s;	na
étaient	AUX	ind:imp:3p;	na
seras	AUX	ind:fut:2s;	na
sont	AUX	ind:pre:3p;	na
été	AUX	par:pas;	m
seront	AUX	ind:fut:3p;	na
serons	AUX	ind:fut:1p;	na
serions	AUX	cnd:pre:1p;	na
serez	AUX	ind:fut:2p;	na
serait	AUX	cnd:pre:3s;	na
serais	AUX	cnd:pre:2s;	na
seraient	AUX	cnd:pre:3p;	na
serai	AUX	ind:fut:1s;	na
sera	AUX	ind:fut:3s;	na
suis	AUX	ind:pre:1s;	na
est	AUX	ind:pre:3s;	na
seriez	AUX	cnd:pre:2p;	na
soit	AUX	sub:pre:3s;	na
être	AUX	inf;	na
es	AUX	ind:pre:2s;	na
fussent	AUX	sub:imp:3p;	na
fusses	AUX	sub:imp:2s;	na
fussiez	AUX	sub:imp:2p;	na
fussions	AUX	sub:imp:1p;	na
fut	AUX	ind:pas:3s;	na
soyez	AUX	sub:pre:2p;	na
soyons	AUX	sub:pre:1p;	na
furent	AUX	ind:pas:3p;	na
fus	AUX	ind:pas:2s;	na
êtes	AUX	ind:pre:2p;	na
fûtes	AUX	ind:pas:2p;	na
fût	AUX	sub:imp:3s;	na
fûmes	AUX	ind:pas:1p;	na
fusse	AUX	sub:imp:1s;	na
une	ART:ind	na	f
d'	PRE	na	na
pour	PRE	na	na
des	ART:ind	na	na
dite	VER	par:pas;	f
dire	VER	inf;;inf;;inf;;inf;;inf;;	na
disent	VER	ind:pre:3p;sub:pre:3p;	na
dirais	VER	cnd:pre:1s;cnd:pre:2s;	na
dites	VER	imp:pre:2p;ind:pre:2p;par:pas;	f
dit	VER	ind:fut:3p;ind:pre:3s;ind:pas:3s;par:pas;	m
dirait	VER	cnd:pre:3s;	na
dirai	VER	ind:fut:1s;	na
dirent	VER	ind:pas:3p;	na
dira	VER	ind:fut:3s;	na
disons	VER	imp:pre:1p;ind:pre:1p;	na
dîmes	VER	ind:pas:1p;	na
dît	VER	sub:imp:3s;	na
dîtes	VER	ind:pas:2p;	na
dise	VER	sub:pre:1s;sub:pre:3s;	na
disions	VER	ind:imp:1p;	na
disiez	VER	ind:imp:2p;sub:pre:2p;	na
diraient	VER	cnd:pre:3p;	na
diras	VER	ind:fut:2s;	na
dirons	VER	ind:fut:1p;	na
dissent	VER	sub:imp:3p;	na
diriez	VER	cnd:pre:2p;	na
dirions	VER	cnd:pre:1p;	na
dises	VER	sub:pre:2s;	na
disant	VER	par:pre;	na
disait	VER	ind:imp:3s;	na
dits	VER	par:pas;	m
diront	VER	ind:fut:3p;	na
direz	VER	ind:fut:2p;	na
disaient	VER	ind:imp:3p;	na
disais	VER	ind:imp:1s;ind:imp:2s;	na
dis	VER	imp:pre:2s;ind:pre:1s;ind:pre:1s;ind:pre:2s;ind:pas:1s;	na
en	PRE	na	na
puis	VER	ind:pre:1s;	na
puisse	VER	sub:pre:1s;sub:pre:3s;	na
pûtes	VER	ind:pas:2p;	na
peut	VER	ind:pre:3s;	na
pourront	VER	ind:fut:3p;	na
pouvaient	VER	ind:imp:3p;	na
peuvent	VER	ind:pre:3p;	na
pourriez	VER	cnd:pre:2p;	na
pourrons	VER	ind:fut:1p;	na
pourrions	VER	cnd:pre:1p;	na
pouvait	VER	ind:imp:3s;	na
pourrez	VER	ind:fut:2p;	na
pourras	VER	ind:fut:2s;	na
pourrait	VER	cnd:pre:3s;	na
pourrais	VER	cnd:pre:1s;cnd:pre:2s;	na
pourraient	VER	cnd:pre:3p;	na
pourrai	VER	ind:fut:1s;	na
pourra	VER	ind:fut:3s;	na
pouvais	VER	ind:imp:1s;ind:imp:2s;	na
puissiez	VER	sub:pre:2p;	na
peux	VER	ind:pre:1s;ind:pre:2s;	na
pouvons	VER	ind:pre:1p;	na
pus	VER	ind:pas:2s;sub:imp:1s;	na
pût	VER	sub:imp:3s;	na
pusses	VER	sub:imp:2s;	na
pussiez	VER	sub:imp:2p;	na
put	VER	ind:pas:3s;	na
purent	VER	ind:pas:3p;	na
puissent	VER	sub:pre:3p;	na
pincer	VER	ind:pre:2p;	na
pouvoir	VER	inf;	na
pusse	VER	sub:imp:1s;	na
pûmes	VER	ind:pas:1p;	na
pouvions	VER	ind:imp:1p;	na
pouviez	VER	ind:imp:2p;	na
pouvez	VER	ind:pre:2p;	na
pu	VER	par:pas;	m
pouvant	VER	par:pre;	na
puissions	VER	sub:pre:1p;	na
puisses	VER	sub:pre:2s;	na
pussent	VER	sub:imp:3p;	na
qui	PRO:rel	na	na
qui	PRO:int	na	na
voulions	VER	ind:imp:1p;sub:pre:1p;	na
voulons	VER	imp:pre:1p;ind:pre:1p;	na
voulu	VER	par:pas;	m
voudriez	VER	cnd:pre:2p;	na
vouloir	VER	inf;	na
vouliez	VER	ind:imp:2p;sub:pre:2p;	na
voulez	VER	imp:pre:2p;ind:pre:2p;	na
voulant	VER	par:pre;	na
voudrions	VER	cnd:pre:1p;	na
voudrons	VER	ind:fut:1p;	na
voudras	VER	ind:fut:2s;	na
voulait	VER	ind:imp:3s;	na
voulais	VER	ind:imp:1s;ind:imp:2s;	na
voudrez	VER	ind:fut:2p;	na
voulût	VER	sub:imp:3s;	na
voudrait	VER	cnd:pre:3s;	na
voulusse	VER	sub:imp:1s;	na
veuille	VER	imp:pre:2s;sub:pre:1s;sub:pre:3s;	na
veuillent	VER	sub:pre:3p;	na
veuilles	VER	sub:pre:2s;	na
veuillez	VER	imp:pre:2p;	na
veulent	VER	ind:pre:3p;	na
veut	VER	ind:pre:3s;	na
veux	VER	ind:pre:1s;ind:pre:2s;	na
voudrais	VER	cnd:pre:1s;cnd:pre:2s;	na
voudront	VER	ind:fut:3p;	na
voulûmes	VER	ind:pas:1p;	na
voulut	VER	ind:pas:3s;	na
voulussent	VER	sub:imp:3p;	na
voulaient	VER	ind:imp:3p;	na
voulus	VER	ind:pas:1s;par:pas;	m
voulurent	VER	ind:pas:3p;	na
voulues	VER	par:pas;	f
voudraient	VER	cnd:pre:3p;	na
voulue	VER	par:pas;	f
voudrai	VER	ind:fut:1s;	na
voudra	VER	ind:fut:3s;	na
ce	PRO:dem	na	m
mais	CON	na	na
me	PRO:per	na	na
nous	PRO:per	na	na
dans	PRE	na	na
elle	PRO:per	na	f
sachons	VER	imp:pre:1p;	na
su	VER	par:pas;	m
sus	VER	ind:pas:1s;ind:pas:2s;par:pas;	m
sachez	VER	imp:pre:2p;	na
sue	VER	par:pas;	f
sachiez	VER	sub:pre:2p;	na
sues	VER	par:pas;	f
susse	VER	sub:imp:1s;	na
sussent	VER	sub:imp:3p;	na
sut	VER	ind:pas:3s;	na
sachant	VER	par:pre;	na
sache	VER	imp:pre:2s;sub:pre:1s;sub:pre:3s;	na
