1_ortho	4_cgram	11_infover	5_genre
susse	VER	sub:imp:1s;	-
sussent	VER	sub:imp:3p;	-
sut	VER	ind:pas:3s;	-
sachant	VER	par:pre;	-
sache	VER	imp:pre:2s;sub:pre:1s;sub:pre:3s;	-
saches	VER	sub:pre:2s;	-
sachions	VER	sub:pre:1p;	-
sachent	VER	sub:pre:3p;	-
saurons	VER	ind:fut:1p;	-
saurais	VER	cnd:pre:1s;cnd:pre:2s;	-
saura	VER	ind:fut:3s;ind:pas:3s;	-
savions	VER	ind:imp:1p;	-
sût	VER	sub:imp:3s;	-
savoir	VER	inf;	-
sûmes	VER	ind:pas:1p;	-
savons	VER	ind:pre:1p;	-
surent	VER	ind:pas:3p;	-
saurai	VER	ind:fut:1s;	-
savez	VER	ind:pre:2p;	-
sauraient	VER	cnd:pre:3p;	-
saurait	VER	cnd:pre:3s;	-
sauront	VER	ind:fut:3p;	-
sauras	VER	ind:fut:2s;ind:pas:2s;	-
saurez	VER	ind:fut:2p;	-
saurions	VER	cnd:pre:1p;	-
saviez	VER	ind:imp:2p;	-
sauriez	VER	cnd:pre:2p;	-
savais	VER	ind:imp:1s;ind:imp:2s;	-
sait	VER	ind:pre:3s;	-
savaient	VER	ind:imp:3p;	-
sais	VER	ind:pre:1s;ind:pre:2s;	-
savait	VER	ind:imp:3s;	-
savent	VER	ind:pre:3p;	-
du	ART:def	-	m
y	PRO:per	-	-
t'	PRO:per	-	-
bien	ADV	-	-
voyant	VER	par:pre;	-
voyiez	VER	ind:imp:2p;sub:pre:2p;	-
verrez	VER	ind:fut:2p;	-
voyez	VER	imp:pre:2p;ind:pre:2p;	-
verront	VER	ind:fut:3p;	-
vîmes	VER	ind:pas:1p;	-
verrons	VER	ind:fut:1p;	-
verrions	VER	cnd:pre:1p;	-
voyais	VER	ind:imp:1s;ind:imp:2s;	-
vis	VER	ind:pas:1s;ind:pas:2s;	-
voyait	VER	ind:imp:3s;	-
vit	VER	ind:pas:3s;	-
vois	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;	-
vus	VER	par:pas;	m
verriez	VER	cnd:pre:2p;	-
voyaient	VER	ind:imp:3p;	-
vît	VER	sub:imp:3s;	-
vues	VER	par:pas;	f
voie	VER	sub:pre:1s;sub:pre:3s;	-
vue	VER	par:pas;	f
vissent	VER	sub:imp:3p;	-
voit	VER	ind:pre:3s;	-
vu	VER	par:pas;	m
verra	VER	ind:fut:3s;	-
verrai	VER	ind:fut:1s;	-
voies	VER	sub:pre:2s;	-
verraient	VER	cnd:pre:3p;	-
verrais	VER	cnd:pre:1s;cnd:pre:2s;	-
verrait	VER	cnd:pre:3s;	-
verras	VER	ind:fut:2s;	-
voyons	VER	imp:pre:1p;ind:pre:1p;	-
voir	VER	inf;;	-
voyions	VER	ind:imp:1p;	-
voient	VER	ind:pre:3p;sub:pre:3p;	-
que	PRO:int	-	-
que	PRO:rel	-	-
plus	ADV	-	-
non	ADV	-	-
te	PRO:per	-	-
mon	ADJ:pos	-	-
au	ART:def	-	m
avec	PRE	-	-
moi	PRO:per	-	-
en	PRO:per	-	-
le	PRO:per	-	m
l'	PRO:per	-	-
dues	VER	par:pas;	f
devras	VER	ind:fut:2s;	-
durent	VER	ind:pas:3p;	-
dus	VER	ind:pas:1s;par:pas;	m
devrai	VER	ind:fut:1s;	-
devra	VER	ind:fut:3s;	-
doit	VER	ind:pre:3s;	-
devrait	VER	cnd:pre:3s;	-
doive	VER	sub:pre:1s;sub:pre:3s;	-
doivent	VER	ind:pre:3p;sub:pre:3p;	-
doives	VER	sub:pre:2s;	-
devrez	VER	ind:fut:2p;	-
due	VER	par:pas;	f
dois	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;inf;	-
devrions	VER	cnd:pre:1p;	-
dusse	VER	sub:imp:1s;	-
dû	VER	par:pas;	m
devront	VER	ind:fut:3p;	-
devez	VER	imp:pre:2p;ind:pre:2p;	-
devant	VER	par:pre;	-
devrons	VER	ind:fut:1p;	-
devait	VER	ind:imp:3s;	-
devais	VER	ind:imp:1s;ind:imp:2s;	-
devaient	VER	ind:imp:3p;	-
dussent	VER	sub:imp:3p;	-
devriez	VER	cnd:pre:2p;	-
dût	VER	sub:imp:3s;	-
dûmes	VER	ind:pas:1p;	-
deviez	VER	ind:imp:2p;sub:pre:2p;	-
devraient	VER	cnd:pre:3p;	-
devions	VER	ind:imp:1p;	-
dussions	VER	sub:imp:1p;	-
dussiez	VER	sub:imp:2p;	-
dusses	VER	sub:imp:2s;	-
dut	VER	ind:pas:3s;	-
devons	VER	imp:pre:1p;ind:pre:1p;	-
devoir	VER	inf;	-
devrais	VER	cnd:pre:1s;cnd:pre:2s;	-
oui	ADV	-	-
ils	PRO:per	-	m
tous	ADJ	-	m
tout	ADJ	-	m
toute	ADJ	-	f
tout	ADJ:ind	-	m
toutes	ADJ	-	f
se	PRO:per	-	-
venir	VER	inf;	-
veniez	VER	ind:imp:2p;	-
venez	VER	imp:pre:2p;ind:pre:2p;	-
venions	VER	ind:imp:1p;	-
venais	VER	ind:imp:1s;ind:imp:2s;	-
venons	VER	imp:pre:1p;ind:pre:1p;	-
venu	VER	par:pas;	m
venue	VER	par:pas;	f
venues	VER	par:pas;	f
venaient	VER	ind:imp:3p;	-
vînt	VER	sub:imp:3s;	-
venant	VER	par:pre;	-
venait	VER	ind:imp:3s;	-
venus	VER	par:pas;	m
vins	VER	ind:pas:1s;ind:pas:2s;	-
viendrait	VER	cnd:pre:3s;	-
viens	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;inf;	-
viennent	VER	ind:pre:3p;sub:pre:3p;	-
vient	VER	ind:pre:3s;	-
vienne	VER	sub:pre:1s;sub:pre:3s;	-
viendront	VER	ind:fut:3p;	-
viendrons	VER	ind:fut:1p;	-
viendrions	VER	cnd:pre:1p;	-
viendriez	VER	cnd:pre:2p;	-
viendrez	VER	ind:fut:2p;	-
viendras	VER	ind:fut:2s;	-
viennes	VER	sub:pre:2s;	-
viendrais	VER	cnd:pre:1s;cnd:pre:2s;	-
viendraient	VER	cnd:pre:3p;	-
viendrai	VER	ind:fut:1s;	-
viendra	VER	ind:fut:3s;	-
vinrent	VER	ind:pas:3p;	-
vint	VER	ind:pas:3s;	-
vinssent	VER	sub:imp:3p;	-
vinsse	VER	sub:imp:1s;	-
ce	ADJ:dem	-	m
sur	PRE	-	-
toi	PRO:per	-	-
s'	PRO:per	-	-
ici	ADV	-	-
rien	PRO:ind	-	-
ma	ADJ:pos	-	-
comme	CON	-	-
lui	PRO:per	-	-
où	PRO:int	-	-
où	PRO:rel	-	-
si	ADV	-	-
là	ADV	-	-
suivait	VER	ind:imp:3s;	-
suivez	VER	imp:pre:2p;ind:pre:2p;	-
suives	VER	sub:pre:2s;	-
suivent	VER	ind:pre:3p;sub:pre:3p;	-
suive	VER	sub:pre:1s;sub:pre:3s;	-
suivant	VER	par:pre;	-
suivrions	VER	cnd:pre:1p;	-
suivîmes	VER	ind:pas:1p;	-
suivais	VER	ind:imp:1s;ind:imp:2s;	-
suivaient	VER	ind:imp:3p;	-
suivi	VER	par:pas;	m
suis	VER	imp:pre:2s;ind:pre:1s;	-
suivît	VER	sub:imp:3s;	-
suit	VER	ind:pre:3s;	-
suivie	VER	par:pas;	f
suivriez	VER	cnd:pre:2p;	-
suivies	VER	par:pas;	f
suivrez	VER	ind:fut:2p;	-
suivre	VER	inf;;	-
suivras	VER	ind:fut:2s;	-
suivrait	VER	cnd:pre:3s;	-
suivrai	VER	ind:fut:1s;	-
suivra	VER	ind:fut:3s;	-
suivrons	VER	ind:fut:1p;	-
suivons	VER	imp:pre:1p;ind:pre:1p;	-
suivit	VER	ind:pas:3s;	-
suivissent	VER	sub:imp:3p;	-
suivis	VER	ind:pas:1s;par:pas;par:pas;	m
suivirent	VER	ind:pas:3p;	-
suivions	VER	ind:imp:1p;	-
suivront	VER	ind:fut:3p;	-
suiviez	VER	ind:imp:2p;sub:pre:2p;	-
suivrais	VER	cnd:pre:1s;cnd:pre:2s;	-
suivraient	VER	cnd:pre:3p;	-
parlés	VER	par:pas;	m
parleriez	VER	cnd:pre:2p;	-
parleront	VER	ind:fut:3p;	-
parlerons	VER	ind:fut:1p;	-
parla	VER	ind:pas:3s;	-
parlai	VER	ind:pas:1s;	-
parlaient	VER	ind:imp:3p;	-
parlais	VER	ind:imp:1s;ind:imp:2s;	-
parlait	VER	ind:imp:3s;	-
parlant	VER	par:pre;	-
parlerions	VER	cnd:pre:1p;	-
parlas	VER	ind:pas:2s;	-
parlerez	VER	ind:fut:2p;	-
parlez	VER	imp:pre:2p;ind:pre:2p;	-
parleras	VER	ind:fut:2s;	-
parlerait	VER	cnd:pre:3s;	-
parlerais	VER	cnd:pre:1s;cnd:pre:2s;	-
parlerai	VER	ind:fut:1s;	-
parlera	VER	ind:fut:3s;	-
parlassent	VER	sub:imp:3p;	-
parler	VER	inf;;inf;;inf;;inf;;	-
parlent	VER	ind:pre:3p;sub:pre:3p;	-
parle	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	-
parlasses	VER	sub:imp:2s;	-
parles	VER	ind:pre:2s;sub:pre:2s;	-
parleraient	VER	cnd:pre:3p;	-
parliez	VER	ind:imp:2p;sub:pre:2p;	-
parlâmes	VER	ind:pas:1p;	-
parlées	VER	par:pas;	f
parlée	VER	par:pas;	f
parlé	VER	par:pas;par:pas;par:pas;par:pas;	m
parlèrent	VER	ind:pas:3p;	-
parlât	VER	sub:imp:3s;	-
parlions	VER	ind:imp:1p;	-
parlons	VER	imp:pre:1p;ind:pre:1p;	-
prendra	VER	ind:fut:3s;	-
prendrons	VER	ind:fut:1p;	-
prennes	VER	sub:pre:2s;	-
prennent	VER	ind:pre:3p;	-
prenne	VER	sub:pre:1s;sub:pre:3s;	-
prenions	VER	ind:imp:1p;	-
preniez	VER	ind:imp:2p;	-
prenez	VER	imp:pre:2p;ind:pre:2p;	-
prenait	VER	ind:imp:3s;	-
prends	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;	-
prendront	VER	ind:fut:3p;	-
prendrions	VER	cnd:pre:1p;	-
prendrai	VER	ind:fut:1s;	-
prendriez	VER	cnd:pre:2p;	-
prendrez	VER	ind:fut:2p;	-
prendre	VER	inf;;inf;;inf;;	-
prenons	VER	imp:pre:1p;ind:pre:1p;	-
prendrait	VER	cnd:pre:3s;	-
prenant	VER	par:pre;	-
prendrais	VER	cnd:pre:1s;cnd:pre:2s;	-
prendraient	VER	cnd:pre:3p;	-
prend	VER	ind:pre:3s;	-
prendras	VER	ind:fut:2s;	-
prirent	VER	ind:pas:3p;	-
prenais	VER	ind:imp:1s;ind:imp:2s;	-
prenaient	VER	ind:imp:3p;	-
prîmes	VER	ind:pas:1p;	-
passer	VER	imp:pre:2p;	-
pris	VER	ind:pas:1s;ind:pas:2s;par:pas;par:pas;par:pas;	m
prise	VER	par:pas;	f
prises	VER	par:pas;	f
prisse	VER	sub:imp:1s;	-
prissent	VER	sub:imp:3p;	-
prissions	VER	sub:imp:1p;	-
prît	VER	sub:imp:3s;	-
prit	VER	ind:pas:3s;	-
cette	ADJ:dem	-	f
votre	ADJ:pos	-	-
quand	CON	-	-
alors	ADV	-	-
chose	NOM	-	f
choses	NOM	-	f
par	PRE	-	-
son	ADJ:pos	-	-
ton	ADJ:pos	-	-
croies	VER	sub:pre:2s;	-
cru	VER	par:pas;	m
crûmes	VER	ind:pas:1p;	-
croyez	VER	imp:pre:2p;ind:pre:2p;	-
croyiez	VER	ind:imp:2p;sub:pre:2p;	-
croient	VER	ind:pre:3p;	-
croyons	VER	imp:pre:1p;ind:pre:1p;	-
croie	VER	sub:pre:1s;sub:pre:3s;	-
croyions	VER	ind:imp:1p;	-
crût	VER	sub:imp:3s;	-
croiras	VER	ind:fut:2s;	-
croit	VER	ind:pre:3s;	-
croiront	VER	ind:fut:3p;	-
croirons	VER	ind:fut:1p;	-
croirions	VER	cnd:pre:1p;	-
croiriez	VER	cnd:pre:2p;	-
